Stacja pocz¹tkowa;Stacja koñcowa;Strona 1;Strona 2;Strona 3;Strona 4;Strona 5;Strona 6;Strona 7;Status
Gdañsk;Kraków;21.604;1.096;0.531;0.28200000000000003;1.433;467;2795;Znaleziono po³¹czenie
Gdañsk;Kraków;0.0;0.0;0.0;0.0;0.0;0;0;Obs³uga strony 1
Gdañsk;Kraków;21.627;1.112;0.522;0.28;1.431;456;2727;Znaleziono po³¹czenie
Gdañsk;Kraków;39.555;1.204;0.526;0.226;1.422;1107;3585;Znaleziono po³¹czenie
Gdañsk;Kraków;20.148;1.088;0.525;0.254;1.3840000000000001;483;2739;Znaleziono po³¹czenie
Gdañsk;Kraków;39.196;1.211;0.495;0.252;1.42;980;3343;Znaleziono po³¹czenie
Gdañsk;Kraków;38.607;1.124;0.465;0.232;1.429;1149;2792;Znaleziono po³¹czenie
Gdañsk;Kraków;39.066;1.541;0.498;0.219;1.3980000000000001;863;3556;Znaleziono po³¹czenie
Gdañsk;Kraków;39.219;1.167;0.5630000000000001;0.224;1.409;842;3368;Znaleziono po³¹czenie
Gdañsk;Kraków;20.077;1.1460000000000001;0.52;0.26;1.429;563;2694;Znaleziono po³¹czenie
Gdañsk;Kraków;40.117;1.5030000000000001;0.518;0.222;1.441;871;3516;Znaleziono po³¹czenie
Gdañsk;Kraków;21.047;1.1480000000000001;0.578;0.246;1.437;488;2224;Znaleziono po³¹czenie
Gdañsk;Kraków;20.92;1.117;0.552;0.266;1.3940000000000001;478;2706;Znaleziono po³¹czenie
Gdañsk;Kraków;19.879;1.145;0.551;0.258;1.414;519;2764;Znaleziono po³¹czenie
Gdañsk;Kraków;19.951;1.12;0.556;0.257;1.3860000000000001;462;2749;Znaleziono po³¹czenie
Gdañsk;Kraków;24.766000000000002;1.321;0.67;0.336;1.463;714;2798;Znaleziono po³¹czenie
Gdañsk;Kraków;7.13;0.0;0.0;0.0;0.0;0;0;Nie uda³o siê za³adowaæ wybranej strony
Gdañsk;Kraków;26.357;1.155;0.611;0.34500000000000003;1.497;600;2761;Znaleziono po³¹czenie
Gdañsk;Kraków;26.032;1.189;0.5730000000000001;0.359;1.46;572;2746;Znaleziono po³¹czenie
Gdañsk;Kraków;26.769000000000002;1.2;0.592;0.313;1.5030000000000001;972;2996;Znaleziono po³¹czenie
Gdañsk;Kraków;26.287;1.154;0.581;0.338;1.444;668;2743;Znaleziono po³¹czenie
Gdañsk;Kraków;25.948;1.161;0.591;0.296;1.44;570;2760;Znaleziono po³¹czenie
Gdañsk;Kraków;25.847;1.216;0.585;0.302;1.476;845;2770;Znaleziono po³¹czenie
Gdañsk;Kraków;25.982;1.243;0.609;0.444;1.482;651;2787;Znaleziono po³¹czenie
Gdañsk;Kraków;27.692;5.521;0.621;0.35100000000000003;1.476;703;2754;Znaleziono po³¹czenie
Gdañsk;Kraków;26.417;1.127;0.5630000000000001;0.307;1.522;570;2350;Znaleziono po³¹czenie
Gdañsk;Kraków;40.472;1.17;0.508;0.28;1.408;860;3298;Znaleziono po³¹czenie
Gdañsk;Kraków;26.033;1.187;0.613;0.329;1.5070000000000001;668;2780;Znaleziono po³¹czenie
Gdañsk;Kraków;25.865000000000002;3.794;0.629;0.325;1.484;598;2779;Znaleziono po³¹czenie
Gdañsk;Kraków;25.939;1.193;0.5750000000000001;0.36;1.502;631;2942;Znaleziono po³¹czenie
Gdañsk;Kraków;27.132;1.268;0.547;0.353;1.45;794;2714;Znaleziono po³¹czenie
Gdañsk;Kraków;46.99;1.212;0.504;0.23700000000000002;1.422;1000;3324;Znaleziono po³¹czenie
Gdañsk;Kraków;40.887;1.133;0.506;0.24;1.393;852;3334;Znaleziono po³¹czenie
Gdañsk;Kraków;25.546;1.172;0.557;0.328;1.431;697;2705;Znaleziono po³¹czenie
Gdañsk;Kraków;27.872;1.1520000000000001;0.5660000000000001;0.27;1.437;484;2734;Znaleziono po³¹czenie
